segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon,umap_x,umap_y,cluster_espacial,cluster_temporal,jam_mean,zona
0,2866782875,8957222011,-16.5175566,-68.0519416,-16.5175848,-68.0512422,residential,93.35659504612812,-16.5175707,-68.0515919,-11.531541,-6.9721327,-1,0,0.0,lapaz
1,2455499173,2455499173,-16.5339062,-68.1295466,-16.5339062,-68.1295466,residential,260.907869566362,-16.5339062,-68.1295466,-11.364942,-6.756392,-1,0,0.0,lapaz
2,1333236119,9643041207,-16.5186777,-68.0562271,-16.518629,-68.0566927,residential,49.95019170071194,-16.51865335,-68.0564599,-12.103427,-6.71468,-1,0,0.0,lapaz
3,1332075913,1332666584,-16.4904073,-68.1047547,-16.4903243,-68.1051501,residential,43.156480715357816,-16.4903658,-68.1049524,-11.012942,-6.018051,0,0,0.0,lapaz
4,2867899175,2867899177,-16.5481381,-68.0965094,-16.5489522,-68.0960312,residential,103.88753602810696,-16.54854515,-68.0962703,-10.717873,-6.655861,-1,0,0.0,lapaz
5,8995652826,12612978799,-16.5191597,-68.1258548,-16.5196352,-68.1263353,residential,74.8702936995979,-16.51939745,-68.12609505,-11.843713,-6.522763,-1,0,0.0,lapaz
6,1784894644,1784894665,-16.4745295,-68.11518,-16.4752814,-68.1154131,residential,87.25851526312755,-16.47490545,-68.11529655,-11.225677,-6.1423693,8,0,0.0,lapaz
7,1786081767,8983344938,-16.5343947,-68.1380626,-16.5349405,-68.1380138,residential,68.69037602020495,-16.5346676,-68.1380382,-11.863849,-7.0021486,5,0,0.0,lapaz
8,1132462505,1345733211,-16.4928466,-68.1157663,-16.4925066,-68.1159857,residential,44.458125741462005,-16.4926766,-68.115876,-11.633337,-6.219789,1,0,0.0,lapaz
9,2867949799,2867949804,-16.5094355,-68.0553366,-16.5082339,-68.0547754,residential,174.47319723497296,-16.5088347,-68.05505600000001,-12.155589,-6.399621,-1,0,0.0,lapaz
10,8327670476,8982653302,-16.4970027,-68.0957277,-16.4969857,-68.0968759,residential,151.14436766716858,-16.4969942,-68.09630179999999,-11.839122,-6.200632,-1,0,0.0,lapaz
11,1345660857,1345660891,-16.5079753,-68.1111065,-16.5077181,-68.1118264,residential,83.11840032098362,-16.5078467,-68.11146645,-11.667885,-6.835106,-1,0,0.0,lapaz
12,1785386633,1785386635,-16.5224758,-68.1050849,-16.5225427,-68.1052975,residential,24.103695419471343,-16.52250925,-68.10519120000001,-11.51065,-5.949105,-1,0,0.0,lapaz
13,1332074716,1344189009,-16.4957881,-68.101985,-16.4960639,-68.1009031,residential,119.5990851852132,-16.495925999999997,-68.10144405,-11.943981,-6.5311403,0,0,0.0,lapaz
14,1785387152,1785387178,-16.5326363,-68.0942862,-16.5335482,-68.094285,residential,105.82485388872264,-16.53309225,-68.0942856,-11.431378,-6.019557,-1,0,0.0,lapaz
15,2834844847,2834844855,-16.4575976,-68.1197995,-16.4597712,-68.1194556,residential,255.62855019068635,-16.4586844,-68.11962754999999,-11.596963,-6.175799,-1,0,0.0,lapaz
16,1208361964,1906527080,-16.5313234,-68.0746423,-16.5321175,-68.0751492,residential,103.52126563313188,-16.53172045,-68.07489575,-13.095431,-7.501207,-1,0,0.0,lapaz
17,560220565,560220610,-16.5378984,-68.0777581,-16.5379569,-68.076689,residential,114.1463340829882,-16.53792765,-68.07722355,-8.019002,2.3862765,2,1,1.0052133688581881,lapaz
18,560220013,560220298,-16.5457972,-68.0804997,-16.5452193,-68.0803402,residential,66.4706234519058,-16.545508249999997,-68.08041994999999,-11.185265,-5.3213143,2,0,0.0,lapaz
19,1784902718,4676764530,-16.4950554,-68.1131458,-16.4957464,-68.1113154,residential,225.8570427208107,-16.4954009,-68.1122306,-11.64251,-7.941516,1,0,0.0,lapaz
20,1216186567,1906157232,-16.5212903,-68.1082674,-16.5212543,-68.1086348,residential,39.370456817191126,-16.5212723,-68.1084511,-13.390603,-6.63105,-1,0,0.0,lapaz
21,5351900235,9258379534,-16.5294595,-68.0395488,-16.5303181,-68.0401873,residential,118.91171738776949,-16.529888800000002,-68.03986805,-11.637021,-6.48589,3,0,0.0,lapaz
22,1786081070,1786081086,-16.5252239,-68.1253103,-16.5256449,-68.1261079,residential,100.842758580629,-16.5254344,-68.1257091,-10.864558,-7.6177573,-1,0,0.0,lapaz
23,537341475,1707567216,-16.5049576,-68.1346911,-16.5048052,-68.1344377,residential,31.890845552802297,-16.504881400000002,-68.1345644,-8.33809,2.739664,4,1,1.1988980514281995,lapaz
24,2454687780,9961703073,-16.5362569,-68.1339931,-16.5367005,-68.1347008,residential,90.3104074513009,-16.5364787,-68.13434695000001,-10.591469,-6.8689632,5,0,0.0,lapaz
25,1332097389,2321317735,-16.5333486,-68.0381505,-16.5338513,-68.0378663,residential,63.59977777647759,-16.53359995,-68.0380084,-10.53911,-6.104402,3,0,0.0,lapaz
26,1332053558,1346555108,-16.5094592,-68.0822109,-16.5082338,-68.0831956,residential,172.0092141193672,-16.508846499999997,-68.08270325000001,-13.191155,-5.968549,-1,0,0.0,lapaz
27,1340866271,1340866368,-16.5443096,-68.0421253,-16.544231,-68.043073,residential,101.39424890087716,-16.5442703,-68.04259915,-11.377858,-5.4275866,-1,0,0.0,lapaz
28,443177836,443177838,-16.5148481,-68.1300254,-16.5146546,-68.1288533,residential,126.79405630979966,-16.514751349999997,-68.12943935,-8.626465,2.7821722,-1,1,0.6310809648632947,lapaz
29,1344150112,4873313225,-16.4936529,-68.1033472,-16.4928721,-68.1034649,residential,87.72336152116156,-16.4932625,-68.10340605,-10.416268,-6.6529555,0,0,0.0,lapaz
30,1786081721,1786081747,-16.53355,-68.1319572,-16.534102,-68.1316481,residential,69.66433027839626,-16.533826,-68.13180265,-10.530736,-6.36267,5,0,0.0,lapaz
31,2865526358,2865526365,-16.4790346,-68.0968937,-16.4796931,-68.0955881,residential,157.29476782093,-16.47936385,-68.0962409,-10.779029,-6.330919,-1,0,0.0,lapaz
32,1361257001,1361257039,-16.5160691,-68.1103429,-16.5156694,-68.1100978,residential,51.5565429030299,-16.51586925,-68.11022035,-11.711557,-5.31696,-1,0,0.0,lapaz
33,1786102784,1786102824,-16.5340547,-68.1021157,-16.5346513,-68.1023745,residential,96.53692534543116,-16.534353,-68.1022451,-11.432043,-7.809536,6,0,0.0,lapaz
34,1784894591,2864497020,-16.4701661,-68.1141601,-16.4690292,-68.1121528,residential,251.37100577330688,-16.46959765,-68.11315645,-10.684813,-6.589294,-1,0,0.0,lapaz
35,1345733093,4675633947,-16.4880969,-68.1067197,-16.4861679,-68.1071717,residential,246.98282807833155,-16.4871324,-68.1069457,-10.844631,-6.1056314,0,0,0.0,lapaz
36,1208348705,1349942866,-16.5439689,-68.0615891,-16.545446,-68.0614248,residential,165.19462198141792,-16.544707449999997,-68.06150695,-10.460504,-7.176579,-1,0,0.0,lapaz
37,1361187802,1361333611,-16.4578929,-68.1617468,-16.4577503,-68.1612341,residential,57.58643554225924,-16.457821600000003,-68.16149045,-10.901333,-7.6760073,-1,0,0.0,lapaz
38,1498508970,5502322395,-16.484367,-68.1648712,-16.4843067,-68.1649542,residential,11.103048236826083,-16.48433685,-68.1649127,-11.162467,-7.4997864,7,0,0.0,lapaz
39,1785345078,1785345091,-16.5099923,-68.1145611,-16.51036,-68.1145569,residential,40.88888403271002,-16.51017615,-68.114559,-10.6515875,-7.062468,-1,0,0.0,lapaz
40,1785244058,2866752126,-16.5191457,-68.1352708,-16.5192671,-68.136458,residential,129.66154713540092,-16.5192064,-68.1358644,-11.069177,-6.618595,-1,0,0.0,lapaz
41,560220216,560220221,-16.5430836,-68.0842039,-16.5431925,-68.0839774,residential,27.127609449740888,-16.54313805,-68.08409065000001,-11.014947,-6.1759377,2,0,0.0,lapaz
42,2864934870,2864934875,-16.4700208,-68.124019,-16.4683183,-68.1258217,residential,311.17002357442914,-16.46916955,-68.12492035,-11.486217,-7.4249163,-1,0,0.0,lapaz
43,5476049682,10606254506,-16.547301,-68.0997345,-16.5474686,-68.0995335,residential,28.676743885683784,-16.5473848,-68.09963400000001,-11.26191,-6.7840366,-1,0,0.0,lapaz
44,565307199,5893599227,-16.4995188,-68.1263119,-16.499497,-68.1254906,residential,87.59752335983369,-16.4995079,-68.12590125,-9.055432,2.4888544,-1,0,0.3684239601928192,lapaz
45,1498451144,1498451159,-16.4875565,-68.164934,-16.487871,-68.1648755,residential,35.5440283491841,-16.487713749999998,-68.16490475,-12.666767,-5.3782873,7,0,0.0,lapaz
46,2861519229,2861519257,-16.4408093,-68.1541033,-16.4405123,-68.1535759,residential,65.3109903816424,-16.440660800000003,-68.1538396,-11.638404,-8.002739,-1,0,0.0,lapaz
47,2864497062,2864497080,-16.4714224,-68.1126691,-16.4716842,-68.1128056,residential,32.68673261172306,-16.4715533,-68.11273735,-11.082503,-7.3986826,-1,0,0.0,lapaz
48,1498508798,1498508810,-16.4826413,-68.1632534,-16.4829688,-68.1631566,residential,37.90673894454035,-16.48280505,-68.163205,-10.602674,-6.1822658,-1,0,0.0,lapaz
49,1345660836,1345660994,-16.5081021,-68.1084873,-16.5078964,-68.108907,residential,50.25208939571411,-16.507999249999997,-68.10869715,-12.410733,-7.805686,-1,0,0.0,lapaz
50,1784698349,4349255030,-16.4846173,-68.1140376,-16.4843044,-68.1142355,residential,40.823068676446816,-16.484460849999998,-68.11413655000001,-12.008331,-5.368427,-1,0,0.0,lapaz
51,5555235057,8973502689,-16.5822305,-68.0786882,-16.5820917,-68.0778062,residential,95.2539897614268,-16.5821611,-68.07824719999999,-10.91341,-6.468629,-1,0,0.0,lapaz
52,1786102695,1786102730,-16.5328873,-68.1053518,-16.5334595,-68.1062584,residential,167.3951068530191,-16.5331734,-68.1058051,-11.087826,-7.2232504,6,0,0.0,lapaz
53,1210621786,1210621995,-16.4939419,-68.153077,-16.4934022,-68.1541446,residential,128.67799466516567,-16.49367205,-68.1536108,-9.204098,1.426389,-1,0,0.15139205060546246,lapaz
54,6557811796,6557811797,-16.5033971,-68.0938818,-16.5033311,-68.0936198,residential,28.88090951929449,-16.5033641,-68.09375080000001,-12.897446,-7.1154704,-1,0,0.0,lapaz
55,1497042002,1497042034,-16.501201,-68.1533211,-16.501842,-68.1532419,residential,73.05510177774065,-16.5015215,-68.15328149999999,-8.073215,1.6010358,-1,0,0.37974639240949043,lapaz
56,564539584,1784848110,-16.4935465,-68.1267678,-16.494211,-68.1272265,residential,88.61516277263613,-16.49387875,-68.12699715,-8.678658,1.4587525,-1,0,0.2715941152894445,lapaz
57,6159093934,6159093935,-16.4454755,-68.1498281,-16.4453921,-68.1501852,residential,39.19616751548547,-16.4454338,-68.15000665,-11.213387,-7.626724,-1,0,0.0,lapaz
58,6344968022,9253656393,-16.5126744,-68.0712226,-16.5140179,-68.0734076,residential,290.743752936261,-16.51334615,-68.0723151,-12.867202,-7.6735754,-1,0,0.0,lapaz
59,1785317519,1785317547,-16.5261436,-68.140489,-16.526521,-68.140535,residential,42.25055343982303,-16.5263323,-68.140512,-10.817184,-6.9195647,-1,0,0.0,lapaz
60,6557899816,6557899817,-16.5024299,-68.0480145,-16.5027489,-68.0474867,residential,66.51808348530851,-16.502589399999998,-68.0477506,-10.991601,-7.060201,-1,0,0.0,lapaz
61,2866727098,2866727100,-16.5109413,-68.0702821,-16.5104083,-68.0701153,residential,61.877255970748045,-16.5106748,-68.07019869999999,-12.733056,-7.915423,-1,0,0.0,lapaz
62,348025217,560232415,-16.496256,-68.1334125,-16.4966742,-68.1326642,residential,92.34512391921358,-16.4964651,-68.13303834999999,-8.339325,2.7389033,-1,1,0.6903794340575773,lapaz
63,5054181560,8982974224,-16.4970192,-68.090578,-16.4980531,-68.0928326,residential,292.9732225524957,-16.497536150000002,-68.0917053,-11.047286,-6.5645947,-1,0,0.0,lapaz
64,1332097391,1332230316,-16.5321443,-68.038825,-16.5320126,-68.038569,residential,30.97026545178306,-16.53207845,-68.038697,-10.923475,-7.172053,3,0,0.0,lapaz
65,1344175306,1344175313,-16.5067417,-68.1007934,-16.5073557,-68.101362,residential,94.70829407869404,-16.5070487,-68.10107769999999,-13.191499,-6.4103026,-1,0,0.0,lapaz
66,1786081207,3791378881,-16.5278372,-68.1264299,-16.527177,-68.1258606,residential,95.24805539416032,-16.5275071,-68.12614525000001,-8.731099,0.22144964,-1,0,0.030780609658992104,lapaz
67,2454688138,2454688207,-16.5384898,-68.1357736,-16.5387943,-68.1348328,residential,106.37316180057417,-16.53864205,-68.1353032,-12.132511,-7.976006,5,0,0.0,lapaz
68,1784902761,1784902849,-16.495567,-68.1154291,-16.496704,-68.1163611,residential,170.2561960167899,-16.4961355,-68.1158951,-13.0249,-5.7519255,1,0,0.0,lapaz
69,5351880000,6168716316,-16.5158915,-68.1045686,-16.5160072,-68.1033545,residential,130.06967635643755,-16.51594935,-68.10396155,-11.123938,-6.275672,-1,0,0.0,lapaz
70,1344150042,1344150074,-16.4913934,-68.1060384,-16.4910398,-68.1059546,residential,40.32098762624557,-16.4912166,-68.1059965,-10.786762,-6.8241525,0,0,0.0,lapaz
71,1332266894,1332600763,-16.5367047,-68.0497828,-16.5369011,-68.0497228,residential,22.75598799714693,-16.5368029,-68.0497528,-11.81241,-7.4321265,-1,0,0.0,lapaz
72,1784894803,1784894807,-16.4791323,-68.1186007,-16.4792897,-68.1175649,residential,111.822931459485,-16.479211,-68.1180828,-8.406286,0.9525453,8,0,0.1551110744112783,lapaz
73,1333505626,1333505761,-16.5155739,-68.0914834,-16.5163489,-68.0911895,residential,195.0085405085022,-16.515961400000002,-68.09133645,-11.282011,-7.136266,-1,0,0.0,lapaz
74,6152380178,6152380183,-16.5078578,-68.0916806,-16.5080555,-68.0909708,residential,78.82217288222611,-16.50795665,-68.0913257,-11.285924,-7.0940733,-1,0,0.0,lapaz
75,1334839325,1334839348,-16.5120752,-68.0817246,-16.5113332,-68.0815313,residential,85.04139399249085,-16.5117042,-68.08162795,-11.427111,-6.180114,-1,0,0.0,lapaz
76,1210621533,1210621802,-16.4896323,-68.1579298,-16.4897177,-68.1585417,residential,65.92929851852067,-16.489675,-68.15823575,-8.020456,1.8039987,-1,1,0.6428516847502836,lapaz
77,2559852081,2559852085,-16.5190965,-68.1469164,-16.5199758,-68.1455254,residential,233.5592442179553,-16.51953615,-68.1462209,-11.303133,-6.9386253,-1,0,0.0,lapaz
78,1786103021,9962847347,-16.5394655,-68.0959476,-16.5392378,-68.0953732,residential,66.25631256228601,-16.53935165,-68.0956604,-12.0387535,-7.6279035,-1,0,0.0,lapaz
79,1332103557,1332103567,-16.5297272,-68.0415795,-16.5293908,-68.0412184,residential,53.6743370452813,-16.529559,-68.04139895,-12.531776,-7.571644,3,0,0.0,lapaz
80,2867949880,2867949881,-16.5055352,-68.0419136,-16.5060962,-68.0415675,residential,72.47643584416612,-16.5058157,-68.04174055,-12.275701,-7.453383,-1,0,0.0,lapaz
81,1332051881,11065363508,-16.5358611,-68.080485,-16.5348737,-68.0803415,residential,132.22764945469424,-16.5353674,-68.08041324999999,-12.159834,-7.2872715,-1,0,0.0,lapaz
82,2864894075,2864934472,-16.4672586,-68.1303396,-16.4666086,-68.1308484,residential,91.34839991951036,-16.4669336,-68.130594,-11.362171,-7.542798,-1,0,0.0,lapaz
83,1333185614,1333185681,-16.5225936,-68.0556745,-16.5221311,-68.0554682,residential,55.93276542716191,-16.52236235,-68.05557135000001,-11.935087,-7.6713204,-1,0,0.0,lapaz
84,1334314878,1334314908,-16.5408217,-68.0335848,-16.5401288,-68.0344262,residential,127.62039406376611,-16.54047525,-68.0340055,-11.647923,-7.2081256,-1,0,0.0,lapaz
85,8241573332,8976798060,-16.4611209,-68.1398348,-16.4630919,-68.1400815,residential,239.51439771842573,-16.4621064,-68.13995815,-12.259574,-7.1048937,-1,0,0.0,lapaz
86,1784871085,1784871091,-16.4808496,-68.1208312,-16.4813297,-68.1205875,residential,59.37293933488813,-16.48108965,-68.12070935,-11.9077215,-6.9518523,8,0,0.0,lapaz
87,8979214284,9923430799,-16.501556,-68.0731454,-16.5013944,-68.0717472,residential,164.62722793483266,-16.5014752,-68.0724463,-13.008253,-7.0660644,-1,0,0.0,lapaz
88,6584578997,6584579001,-16.5063097,-68.0382027,-16.5060676,-68.0389336,residential,95.74531600001173,-16.50618865,-68.03856815,-11.764177,-7.4148784,-1,0,0.0,lapaz
89,1332036125,2321317846,-16.5411586,-68.0431284,-16.5413649,-68.0430945,residential,23.648781092714668,-16.54126175,-68.04311145,-12.9634,-6.832482,-1,0,0.0,lapaz
90,1498339519,1785316580,-16.5118079,-68.146944,-16.5111171,-68.1477147,residential,157.65171914511058,-16.5114625,-68.14732935,-9.2422,-0.2533115,9,0,0.0051978963052456955,lapaz
91,4652802438,4652802468,-16.5375201,-68.1208332,-16.5368433,-68.1234138,residential,309.5336122625661,-16.537181699999998,-68.1221235,-13.227059,-6.8871865,-1,0,0.0,lapaz
92,1361359858,7892226518,-16.4639871,-68.1500757,-16.4636545,-68.1505412,residential,61.90163517976711,-16.4638208,-68.15030845000001,-7.785242,1.1820958,-1,0,0.25359141265443974,lapaz
93,1786081059,2867847891,-16.5246995,-68.1216368,-16.5245201,-68.1217957,residential,26.42909827766703,-16.5246098,-68.12171625,-12.375789,-6.8905144,-1,0,0.0,lapaz
94,6804295389,8958433073,-16.5400252,-68.1243418,-16.5396845,-68.1238832,residential,193.0839732550459,-16.539854849999998,-68.1241125,-11.713428,-6.716019,-1,0,0.0,lapaz
95,324099575,4085835436,-16.5177154,-68.1293058,-16.5166424,-68.1288989,residential,132.83829022638807,-16.517178899999998,-68.12910235,-8.920054,0.97209966,-1,0,0.11327404769887568,lapaz
96,1344150047,2865566492,-16.4950293,-68.1060162,-16.4942955,-68.1061303,residential,82.49684226592954,-16.4946624,-68.10607325000001,-13.060544,-6.2230883,0,0,0.0,lapaz
97,4368447455,4368447456,-16.4923185,-68.1221877,-16.4923199,-68.1226107,residential,45.10064429585776,-16.492319199999997,-68.12239919999999,-11.36724,-7.427027,-1,0,0.0,lapaz
98,1784846785,6074239388,-16.481249,-68.1240298,-16.4807896,-68.1247793,residential,95.05899736336332,-16.4810193,-68.12440455000001,-8.311536,1.5938025,8,0,0.38562163547308054,lapaz
99,2865566937,2865607601,-16.4974183,-68.0980018,-16.4972186,-68.0971904,residential,102.60005993005991,-16.49731845,-68.0975961,-12.172379,-7.042235,-1,0,0.0,lapaz
100,1333505752,4913096798,-16.5170057,-68.0903834,-16.5164662,-68.0904467,residential,60.658660792814175,-16.516735949999998,-68.09041504999999,-7.990594,1.965415,-1,1,1.6782046417923877,lapaz
101,1784894805,1784894836,-16.4792416,-68.1168889,-16.4801507,-68.1172371,residential,118.01343300921438,-16.479696150000002,-68.117063,-11.443367,-6.3979025,8,0,0.0,lapaz
102,6066709623,6066709626,-16.4440702,-68.1221682,-16.4435718,-68.1221221,residential,55.63727698471919,-16.443821,-68.12214515,-11.7793865,-7.4084077,-1,0,0.0,lapaz
103,2484704955,2484704958,-16.4928381,-68.1471916,-16.4928002,-68.1479452,residential,80.46172928068817,-16.492819150000003,-68.1475684,-11.630297,-7.154034,-1,0,0.0,lapaz
104,1437216239,8977357221,-16.4796158,-68.1456476,-16.4795689,-68.1456231,residential,6.3137514442029925,-16.47959235,-68.14563534999999,-12.200953,-7.1163983,-1,0,0.0,lapaz
105,1436979991,3751492239,-16.5471608,-68.0759709,-16.5469693,-68.0771041,residential,122.83256234756324,-16.54706505,-68.0765375,-11.513653,-6.9147415,2,0,0.0,lapaz
106,1786103050,3039514789,-16.5404604,-68.0991472,-16.5404475,-68.0992316,residential,9.1101447104092,-16.54045395,-68.0991894,-12.742303,-6.313904,-1,0,0.0,lapaz
107,1332023093,1332097408,-16.5305847,-68.0357968,-16.5308972,-68.0363801,residential,71.2300085141317,-16.53074095,-68.03608845,-12.549265,-7.270955,3,0,0.0,lapaz
108,1345047864,3782577831,-16.5072509,-68.095887,-16.5072183,-68.0954622,residential,45.43364080863001,-16.5072346,-68.0956746,-12.661499,-5.8491907,-1,0,0.0,lapaz
109,1332615508,1332615538,-16.5392822,-68.0502314,-16.5392922,-68.0498012,residential,45.87037646375924,-16.539287199999997,-68.05001630000001,-12.583053,-7.4175224,-1,0,0.0,lapaz
110,8958450564,8958450571,-16.5409354,-68.1165379,-16.5418018,-68.1148109,residential,251.8000784166953,-16.5413686,-68.11567439999999,-12.774179,-6.096197,-1,0,0.0,lapaz
111,9925936295,9925936298,-16.5359991,-68.0474143,-16.5358645,-68.0471718,residential,29.86984658017919,-16.5359318,-68.04729305000001,-12.806524,-7.1929836,-1,0,0.0,lapaz
112,1784846872,1784846879,-16.4827381,-68.1263432,-16.4827836,-68.1269108,residential,65.29139944014425,-16.48276085,-68.126627,-12.614065,-7.1041675,10,0,0.0,lapaz
113,1785211027,1785211079,-16.5122437,-68.1349573,-16.5127994,-68.1344055,residential,87.75982927498798,-16.51252155,-68.1346814,-12.343591,-5.4350457,4,0,0.0,lapaz
114,4385380454,4750242895,-16.4931571,-68.1216958,-16.4945216,-68.1216264,residential,151.90605302964676,-16.493839350000002,-68.1216611,-9.356696,1.4379483,1,0,0.13346504149518934,lapaz
115,2862848857,2862848859,-16.4517062,-68.1456535,-16.4505221,-68.1456414,residential,131.67242160038765,-16.451114150000002,-68.14564745,-11.46852,-7.2641654,-1,0,0.0,lapaz
116,1498339164,1498339258,-16.5074323,-68.1485373,-16.5081092,-68.1489638,residential,88.84504917425411,-16.50777075,-68.14875055,-10.746493,-5.6448116,9,0,0.0,lapaz
117,1210088197,1391478002,-16.5446802,-68.0671902,-16.5438091,-68.0668836,residential,102.22886639088858,-16.54424465,-68.0670369,-13.042981,-6.562687,-1,0,0.0,lapaz
118,1210620857,1210622003,-16.4904747,-68.1622533,-16.4899153,-68.1624741,residential,66.50850453995123,-16.490195,-68.1623637,-11.774952,-6.6881256,7,0,0.0,lapaz
119,2864834301,2864893714,-16.4828532,-68.1325244,-16.4714816,-68.1377374,residential,1599.2602003713455,-16.4771674,-68.13513090000001,-11.573442,-4.7040105,-1,0,0.00041053705116036256,lapaz
120,1361256986,1361257103,-16.5127797,-68.106802,-16.5121954,-68.1068904,residential,65.88852557456738,-16.51248755,-68.1068462,-12.594879,-6.7683053,-1,0,0.0,lapaz
121,1345509561,1361257079,-16.5108941,-68.1059424,-16.5117909,-68.1067447,residential,187.31947821353813,-16.5113425,-68.10634354999999,-8.09181,0.95379835,-1,0,0.1692561511903853,lapaz
122,1786102657,1786102659,-16.5319026,-68.1052807,-16.5319604,-68.1049065,residential,40.403589037812495,-16.5319315,-68.1050936,-12.685783,-5.8001943,6,0,0.0,lapaz
123,2866727153,13406662156,-16.5116152,-68.0761676,-16.5111176,-68.0764804,residential,64.9917608873151,-16.5113664,-68.076324,-12.764439,-6.679537,-1,0,0.0,lapaz
